,0,1,2,3,4,5,6,7,8,9
ind_1,1179.9261980081612,,,,,,,,,
uni_1,1148.8137552910305,,,,,,,,,
fdiff_1,1810.9701219829735,,,,,,,,,
fmax_1,1158.7667148277435,,,,,,,,,
fsum_1,1205.0271492536472,,,,,,,,,
ind_2,1077.110788278151,22999.999999999996,,,,,,,,
uni_2,5749.999999999999,5749.999999999999,,,,,,,,
fdiff_2,5749.999999999999,5749.999999999999,,,,,,,,
fmax_2,1314.8231433870058,22519.40235801557,,,,,,,,
fsum_2,417.9392429115528,13103.79071985975,,,,,,,,
ind_3,1181.6412310761286,23000.000000000004,341.8020814927762,,,,,,,
uni_3,2555.5555555555557,2555.5555555555557,2155.5555555555557,,,,,,,
fdiff_3,2555.5555555555557,2555.5555555555557,2155.5555555555557,,,,,,,
fmax_3,457.9277766621293,53768.37327785479,1400.1583403381896,,,,,,,
fsum_3,196.27183769111065,8338.724772473277,112.19722229202841,,,,,,,
ind_4,1194.5611223063227,22999.999999999996,412.6172017683093,1075.0871247146508,,,,,,
uni_4,1437.4999999999998,1437.4999999999998,1212.4999999999998,1437.4999999999998,,,,,,
fdiff_4,238.75180250626042,22402.918464264487,103.04428005406312,238.75180250626042,,,,,,
fmax_4,205.73458544476478,29462.9522764141,203.52297266788406,205.73458544476478,,,,,,
fsum_4,92.96062295199532,5209.232821035128,61.110318753063495,92.96062295199532,,,,,,
ind_5,1138.3275208482255,22999.999999999996,347.37806600614954,1238.9989932739813,22999.999999999996,,,,,
uni_5,920.0,920.0,776.0,920.0,920.0,,,,,
fdiff_5,120.15293770593097,21869.877120446326,105.48304270942879,120.15293770593097,21869.877120446326,,,,,
fmax_5,135.88469538466478,18553.809279167806,584.2225734432637,135.88469538466478,18553.809279167806,,,,,
fsum_5,76.21986438644566,2701.867515983014,48.934621759507465,76.21986438644566,2701.867515983014,,,,,
ind_6,1233.974099175976,23000.000000000004,264.4175368982374,1315.8941052604184,23000.000000000004,354.72923688889773,,,,
uni_6,638.8888888888889,638.8888888888889,538.8888888888889,638.8888888888889,638.8888888888889,538.8888888888889,,,,
fdiff_6,152.11665327570128,22146.679223582578,51.282061473037885,152.11665327570128,22146.679223582578,51.282061473037885,,,,
fmax_6,89.62373965033831,13302.053404187678,231.3618900810041,89.62373965033831,13302.053404187678,231.3618900810041,,,,
fsum_6,48.75348766205156,2072.5472431690496,28.6293456389854,48.75348766205156,2072.5472431690496,28.6293456389854,,,,
ind_7,1278.6017415168324,23000.000000000004,713.9146263194431,1260.8678256729042,23000.000000000004,591.2866110931649,4000.0000000000023,,,
uni_7,469.38775510204096,469.38775510204096,395.91836734693885,469.38775510204096,469.38775510204096,395.91836734693885,81.63265306122452,,,
fdiff_7,59.64658142099483,22501.164110591966,30.230873612195733,59.64658142099483,22501.164110591966,30.230873612195733,972.6819929686675,,,
fmax_7,78.79813005049286,10086.150289889121,279.1683598405716,78.79813005049286,10086.150289889121,279.1683598405716,720.2301732538923,,,
fsum_7,47.78678292606742,1394.4320911223542,21.3920324872823,47.78678292606742,1394.4320911223542,21.3920324872823,196.17093001403325,,,
ind_8,1199.6555484587598,22999.999999999996,295.5726586763771,1297.0872271821695,22999.999999999996,309.7508530586504,4000.000000000001,4000.000000000001,,
uni_8,359.37499999999994,359.37499999999994,303.12499999999994,359.37499999999994,359.37499999999994,303.12499999999994,62.49999999999999,62.49999999999999,,
fdiff_8,77.14540805548017,22390.318256315935,11.107007914416961,77.14540805548017,22390.318256315935,11.107007914416961,586.3418859643524,586.3418859643524,,
fmax_8,52.21387819714118,7258.754352799331,55.9251963559727,52.21387819714118,7258.754352799331,55.9251963559727,506.7794910041156,506.7794910041156,,
fsum_8,42.48314694629653,1061.4938926428958,16.182887608806045,42.48314694629653,1061.4938926428958,16.182887608806045,127.94725254593047,127.94725254593047,,
ind_9,1301.2393990116839,22999.999999999996,455.5339319702277,1223.726145728654,22999.999999999996,485.7994021562889,4000.000000000001,4000.000000000001,17227.51013508873,
uni_9,283.9506172839506,283.9506172839506,239.50617283950615,283.9506172839506,283.9506172839506,239.50617283950615,49.382716049382715,49.382716049382715,283.9506172839506,
fdiff_9,55.49242857673582,19047.44517226081,8.1627083058723,55.49242857673582,19047.44517226081,8.1627083058723,699.8409196790126,699.8409196790126,16537.695384905903,
fmax_9,49.85958236191176,6139.932318510011,68.88602070272945,49.85958236191176,6139.932318510011,68.88602070272945,317.9427911604468,317.9427911604468,5507.873263130601,
fsum_9,36.187458075635554,750.4649119482237,15.217873138470182,36.187458075635554,750.4649119482237,15.217873138470182,99.32483989247858,99.32483989247858,659.4981381693303,
ind_10,1346.1429074523044,22999.999999999996,216.5100924475952,1326.3252418269944,22999.999999999996,457.4352348795402,4000.000000000001,4000.000000000001,17333.004974281255,22999.999999999996
uni_10,230.0,230.0,194.0,230.0,230.0,194.0,40.0,40.0,230.0,230.0
fdiff_10,45.22878050357017,16276.91002907028,7.017215498314338,45.22878050357017,16276.91002907028,7.017215498314338,318.8985341131803,318.8985341131803,14154.985534668045,16276.91002907028
fmax_10,31.93927208603438,5015.79192896711,78.34682037154259,31.93927208603438,5015.79192896711,78.34682037154259,517.0421269409222,517.0421269409222,4340.339426026405,5015.79192896711
fsum_10,40.05348420115286,515.5152376705065,17.174344464038462,40.05348420115286,515.5152376705065,17.174344464038462,52.21818880397992,52.21818880397992,460.8651691915181,515.5152376705065
names,Total,Identity,adult,Total,Identity,adult,age2,age2,age1,Identity
